,Código do curso,Nome do curso,Média,Desvio Padrão,Variância
999−Exatas,999,Exatas,52.0,0.0,0.0
"420−Ciências da Atividade Física − USP Leste, SP",420,"Ciências da Atividade Física − USP Leste, SP",27.0,0.0,0.0
230−Letras,230,Letras,27.0,0.0,0.0
810−Informática − São Carlos,810,Informática − São Carlos,36.666666666666664,0.5773502691896258,0.33333333333333337
699−Biológicas,699,Biológicas,48.5,0.7071067811865476,0.5
435−Educação Física − Ribeirão Preto,435,Educação Física − Ribeirão Preto,32.5,0.7071067811865476,0.5
"100−Administração, Ciências Contábeis, Economia, Economia Empresarial e Controla...",100,"Administração, Ciências Contábeis, Economia, Economia Empresarial e Controla...",42.5,0.7071067811865476,0.5
115−Artes Cênicas − Bacharelado,115,Artes Cênicas − Bacharelado,54.0,1.0,1.0
135−Ciências Contábeis − Ribeirão Preto,135,Ciências Contábeis − Ribeirão Preto,41.4,1.140175425099138,1.3
570−Terapia Ocupacional − Ribeirão Preto,570,Terapia Ocupacional − Ribeirão Preto,35.44444444444444,1.3333333333333335,1.777777777777778
845−Química Ambiental,845,Química Ambiental,39.0,1.4142135623730951,2.0
399−Humanas,399,Humanas,49.0,1.4142135623730951,2.0
505−Ciências Médicas − Ribeirão Preto,505,Ciências Médicas − Ribeirão Preto,72.0,1.4142135623730951,2.0
771−Engenharia Química − Lorena,771,Engenharia Química − Lorena,45.333333333333336,1.5275252316519465,2.333333333333333
400−Ciências Biológicas,400,Ciências Biológicas,51.666666666666664,1.632993161855452,2.6666666666666665
450−Engenharia Agronômica − Piracicaba(*),450,Engenharia Agronômica − Piracicaba(*),42.0,1.7320508075688772,3.0
540−Odontologia − Bauru,540,Odontologia − Bauru,44.666666666666664,1.7320508075688772,3.0
175−Economia − Piracicaba,175,Economia − Piracicaba,46.22222222222222,1.7873008824606014,3.1944444444444446
"165−Economia, Administração, Ciências Contábeis e Atuária",165,"Economia, Administração, Ciências Contábeis e Atuária",51.333333333333336,1.8027756377319946,3.25
275−Relações Públicas,275,Relações Públicas,47.44444444444444,1.878237944930774,3.5277777777777772
101−Administração − Piracicaba,101,Administração − Piracicaba,41.375,1.9226098333849673,3.6964285714285716
170−Economia Empresarial e Controladoria − Ribeirão Preto,170,Economia Empresarial e Controladoria − Ribeirão Preto,41.2,1.9235384061671343,3.6999999999999997
450−Engenharia Agronômica − Piracicaba,450,Engenharia Agronômica − Piracicaba,40.166666666666664,1.9407902170679516,3.7666666666666666
105−Arquitetura − FAU,105,Arquitetura − FAU,56.44444444444444,1.9436506316151,3.7777777777777772
435−Educação Física e Esporte − Ribeirão Preto,435,Educação Física e Esporte − Ribeirão Preto,35.142857142857146,1.9518001458970662,3.809523809523809
160−Direito,160,Direito,57.111111111111114,1.9649710204252657,3.8611111111111103
505−Medicina − Ribeirão Preto,505,Medicina − Ribeirão Preto,71.42857142857143,1.9880595947760098,3.952380952380952
"225−Lazer e Turismo − USP Leste, SP",225,"Lazer e Turismo − USP Leste, SP",29.666666666666668,2.0,4.0
475−Fisioterapia − Ribeirão Preto,475,Fisioterapia − Ribeirão Preto,42.44444444444444,2.006932429798716,4.027777777777779
465−Farmácia−Bioquímica − Ribeirão Preto,465,Farmácia−Bioquímica − Ribeirão Preto,42.857142857142854,2.0354009783964293,4.142857142857142
416−Ciências Biomédicas − Ribeirão Preto,416,Ciências Biomédicas − Ribeirão Preto,51.42857142857143,2.0701966780270626,4.285714285714286
110−Arquitetura − São Carlos,110,Arquitetura − São Carlos,54.333333333333336,2.1213203435596424,4.5
150−Curso Superior do Audiovisual,150,Curso Superior do Audiovisual,59.44444444444444,2.1278575558006176,4.527777777777779
115−Artes Cênicas,115,Artes Cênicas,48.0,2.160246899469287,4.666666666666667
155−Design,155,Design,53.22222222222222,2.1666666666666665,4.694444444444445
810−Sistemas de Informação − São Carlos,810,Sistemas de Informação − São Carlos,42.75,2.217355782608345,4.916666666666667
699−Treinamento Biológicas,699,Treinamento Biológicas,47.2,2.2803508501982757,5.199999999999999
100−Administração − Ribeirão Preto,100,Administração − Ribeirão Preto,46.4,2.302172886644268,5.300000000000001
715−Engenharia Aeronáutica − São Carlos,715,Engenharia Aeronáutica − São Carlos,66.11111111111111,2.3154073315749675,5.361111111111111
535−Odontologia,535,Odontologia,45.111111111111114,2.3154073315749675,5.361111111111111
220−Jornalismo,220,Jornalismo,55.333333333333336,2.345207879911715,5.5
270−Relações Internacionais,270,Relações Internacionais,59.333333333333336,2.345207879911715,5.500000000000001
785−Engenharia − São Carlos,785,Engenharia − São Carlos,58.285714285714285,2.3603873774083297,5.571428571428572
460−Farmácia−Bioquímica,460,Farmácia−Bioquímica,47.714285714285715,2.3603873774083297,5.571428571428572
525−Nutrição e Metabolismo − Ribeirão Preto,525,Nutrição e Metabolismo − Ribeirão Preto,43.77777777777778,2.386303510546059,5.694444444444445
510−Medicina Veterinária,510,Medicina Veterinária,52.333333333333336,2.3979157616563596,5.75
575−Zootecnia − Pirassununga,575,Zootecnia − Pirassununga,35.44444444444444,2.403700850309326,5.777777777777777
870−Química (Bacharelados) − São Carlos,870,Química (Bacharelados) − São Carlos,43.333333333333336,2.4221202832779936,5.866666666666667
480−Fonoaudiologia,480,Fonoaudiologia,38.77777777777778,2.438123139721299,5.944444444444445
515−Medicina Veterinária − Pirassununga,515,Medicina Veterinária − Pirassununga,48.666666666666664,2.449489742783178,6.0
700−Ciências Biomoleculares − São Carlos,700,Ciências Biomoleculares − São Carlos,43.333333333333336,2.503331114069145,6.2666666666666675
865−Química − Licenciatura − Ribeirão Preto,865,Química − Licenciatura − Ribeirão Preto,30.555555555555557,2.5055493963954847,6.277777777777779
410−Ciências Biológicas − Ribeirão Preto,410,Ciências Biológicas − Ribeirão Preto,47.22222222222222,2.5385910352879693,6.444444444444445
235−Letras,235,Letras,36.142857142857146,2.5448360411214077,6.476190476190478
545−Odontologia − Ribeirão Preto,545,Odontologia − Ribeirão Preto,45.111111111111114,2.571208103423585,6.611111111111111
"280−Têxtil e Moda − USP Leste, SP",280,"Têxtil e Moda − USP Leste, SP",40.888888888888886,2.571208103423585,6.611111111111111
790−Fís. / Fís. Comput. / Meteor. / Geofís. / Astron. / Estatís. / Mat. / Mat. Apl.,790,Fís. / Fís. Comput. / Meteor. / Geofís. / Astron. / Estatís. / Mat. / Mat. Apl.,42.0,2.581988897471611,6.666666666666667
520−Nutrição,520,Nutrição,44.22222222222222,2.5873624493766707,6.694444444444445
399−Treinamento Humanas,399,Treinamento Humanas,46.2,2.588435821108957,6.699999999999999
415−Ciências Biomédicas,415,Ciências Biomédicas,56.44444444444444,2.6034165586355513,6.777777777777777
850−Química (Bacharelados) − Ribeirão Preto,850,Química (Bacharelados) − Ribeirão Preto,42.142857142857146,2.6726124191242437,7.142857142857143
775−Engenharia na Escola Politécnica,775,Engenharia na Escola Politécnica,59.57142857142857,2.699206232527312,7.285714285714285
780−Engenharia Química − Lorena,780,Engenharia Química − Lorena,50.166666666666664,2.714160398109638,7.366666666666667
500−Medicina,500,Medicina,73.0,2.7386127875258306,7.5
"240−Marketing − USP Leste, SP",240,"Marketing − USP Leste, SP",41.666666666666664,2.7386127875258306,7.500000000000001
230−Licenciatura em Educomunicação,230,Licenciatura em Educomunicação,36.57142857142857,2.7602622373694166,7.619047619047618
550−Psicologia,550,Psicologia,58.77777777777778,2.8185890875479607,7.944444444444445
440−Enfermagem,440,Enfermagem,41.22222222222222,2.8185890875479607,7.944444444444445
565−Terapia Ocupacional,565,Terapia Ocupacional,38.333333333333336,2.8284271247461903,8.0
835−Matemática − São Carlos,835,Matemática − São Carlos,32.0,2.8284271247461903,8.0
399−Treinamento H (Humanas),399,Treinamento H (Humanas),47.0,2.8284271247461903,8.0
805−Informática Biomédica − Ribeirão Preto,805,Informática Biomédica − Ribeirão Preto,31.444444444444443,2.877112750272011,8.277777777777777
215−História,215,História,43.888888888888886,2.891558595482912,8.36111111111111
765−Engenharia Elétrica e de Computação − São Carlos,765,Engenharia Elétrica e de Computação − São Carlos,54.25,2.9154759474226504,8.5
555−Psicologia − Ribeirão Preto,555,Psicologia − Ribeirão Preto,54.44444444444444,2.9202359113225387,8.527777777777777
180−Economia − Ribeirão Preto,180,Economia − Ribeirão Preto,49.8,2.9495762407505253,8.700000000000001
265−Publicidade e Propaganda,265,Publicidade e Propaganda,52.77777777777778,2.9907264074877267,8.944444444444443
120−Artes Cênicas − Licenciatura,120,Artes Cênicas − Licenciatura,47.0,3.0,9.0
